,name,author,numberOfPages,price
9943,Скотный Двор. Эссе,Джордж Оруэлл,256,
9944,,,,
9945,,,608,
9946,,,384,
9947,,,800,
9948,Макбет.Отелло.Король Лир,Уильям Шекспир,,
9949,,,384,
9950,,,,
9951,"ЭксклюзивКлассика Джером Трое в лодке, не считая собаки",Джером Клапка Джером,320,
9952,Обломов: роман,Иван Гончаров,640,
9953,Идиот,Федор Достоевский,640,
9954,,,,
9955,Леди Макбет Мценского уезда,Николай Лесков,288,
9956,,,512,
9957,Гордость и предубеждение,Джейн Остен,480,
9958,,,,
9959,,,624,
9960,Бесы,Федор Достоевский,608,
9961,Комедии,Уильям Шекспир,,
9962,Грозовой перевал,Эмили Джейн Бронте,544,
9963,Тайна двух океанов,Григорий Адамов,512,
9964,Декамерон,Джованни Боккаччо,,
9965,,,192,
9966,Грозовой Перевал,Эмили Джейн Бронте,416,
9967,,,608,
9968,Анна Каренина,Лев Толстой,800,
9969,,,352,
9970,,,640,
9971,,,512,
9972,Над кукушкиным гнездом,Кен Кизи,384,
9973,,,384,
9974,,,800,
9975,Мартин Иден,Джек Лондон,,
9976,,,448,
9977,,,480,
9978,,,320,
9979,,,1056,
9980,,,160,
9981,,,800,
9982,,,256,
9983,,,288,
9984,,,,
9985,,,768,
9986,,,480,
9987,Нарцисс и Златоуст (пер. Седельника В.Д.),Герман Гессе,320,
9988,,,896,
9989,,,213,
9990,,,608,
9991,,,640,
9992,Джейн Эйр,Шарлотта Бронте,512,
9993,Детство. Отрочество. Юность,Лев Толстой,640,
9994,,,640,
9995,,,640,
9996,,,,
9997,Мастер и Маргарита,Михаил Булгаков,480,
9998,,,640,
9999,,,800,
10000,,,896,
10001,Книга джунглей,Редьярд Киплинг,352,
10002,,,640,
10003,,,224,
10004,Посмертные записки Пиквикского клуба,Чарльз Диккенс,736,
10005,Хождение по мукам,Алексей Толстой,800,
10006,Маска красной смерти,Эдгар По,544,
10007,Фактотум,Чарльз Буковски,288,
10008,,,608,
10009,,,256,
10010,,,608,
10011,,,672,
10012,,,96,
10013,Коллекционер,Джон Роберт Фаулз,400,
10014,Зар.кл.Грозовой перевал,Эмили Джейн Бронте,320,
10015,,,,
10016,,,512,
10017,Гений,Теодор Драйзер,928,
10018,"Дэнс, дэнс, дэнс : роман",Харуки Мураками,608,
10019,,,,
10020,,,,
10021,,,384,
10022,,,,
10023,Возвращение в Брайдсхед,Ивлин Во,448,
10024,Капитанская дочка,Александр Пушкин,560,
10025,,,512,
10026,,,640,
10027,,,640,
10028,,,608,
10029,,,640,
10030,,,416,
10031,Прощание с Матерой,Валентин Распутин,640,
10032,Сотников,Василь Быков,640,
10033,,,640,
10034,Дама с камелиями,Александр Дюма (отец),640,
10035,,,672,
10036,,,608,
10037,,,384,
10038,Бич Божий,Евгений Замятин,512,
10039,,,608,
10040,Капитанская дочка,Александр Пушкин,560,
10041,,,480,
10042,,,416,
10043,,,928,
10044,,,480,
10045,,,352,
10046,,,320,
10047,,,,
10048,,,240,
10049,,,416,
10050,,,320,
10051,,,256,
10052,Ярмарка тщеславия,Уильям Мейкпис Теккерей,704,
10053,Идиот,Федор Достоевский,,
10054,Судья и его палач,Фридрих Дюрренматт,256,
10055,,,,
10056,Тихий Дон. В двух томах,Михаил Шолохов,1856,
10057,Рождественские рассказы русских и зарубежных писателей,,320,
10058,,,480,
10059,,,992,
10060,,,,
10061,Петербург,Андрей Белый,,
10062,Дон Кихот Ламанчский т.1,,,
10063,,,,
10064,,,,
10065,Воскресение,Лев Толстой,544,
10066,Бесприданница,Александр Островский,624,
10067,,,320,
10068,,,640,
10069,Золотой жук,Эдгар По,640,
10070,Посмертные записки Пиквикского клуба,Чарльз Диккенс,736,
10071,,,640,
10072,Любовь и дружба,Джейн Остен,352,
10073,Горе от ума,Сергей Фомичев,608,
10074,И дольше века длится день,Чингиз Айтматов,640,
10075,,,192,
10076,В дороге: Роман,Джек Керуак,448,
10077,,,272,
10078,,,304,
10079,,,608,
10080,,,608,
10081,,,,
10082,,,448,
10083,,,496,
10084,,,608,
10085,,,480,
10086,Али и Нино,Курбан Саид,320,
10087,,,416,
10088,,,752,
10089,,,320,
10090,Мы – плотники незримого собора,Рэй Брэдбери,320,
10091,,,640,
10092,,,832,
10093,,,640,
10094,,,528,
10095,,,416,
10096,Сага о Форсайтах,Джон Голсуорси,864,
10097,О мышах и людях. Квартал Тортилья-Флэт,Джон Стейнбек,320,
10098,,,256,
10099,Малое собрание сочинений,Александр Грин,640,
10100,,,288,
10101,,,672,
10102,,,286,
10103,,,384,
10104,,,208,
10105,,,736,
10106,,,752,
10107,Пена дней: Роман,Борис Виан,288,
10108,,,,
10109,Лучше не бывает,Айрис Мердок,384,
10110,Берега. Роман о семействе Дюморье,,352,
10111,,,544,
10112,,,384,
10113,Не позже полуночи и другие истории,Дафна дю Морье,352,
10114,Ярмарка тщеславия,Уильям Мейкпис Теккерей,928,
10115,,,736,
10116,,,591,
10117,"Моби Дик, или Белый Кит: Роман",Герман Мелвилл,736,
10118,,,592,
10119,,,640,
10120,,,640,
10121,,,640,
10122,,,640,
10123,,,704,
10124,,,672,
10125,,,576,
10126,Птицы и другие истории,,320,
10127,,,352,
10128,,,640,
10129,,,640,
10130,,,640,
10131,,,640,
10132,Рандеву и другие рассказы,,352,
10133,Капитанская дочка,Александр Пушкин,640,
10134,Прощание с Матерой,Валентин Распутин,640,
10135,,,672,
10136,,,928,
10137,Чайка.Три сестры.Вишневый сад,Антон Чехов,544,
10138,,,624,
10139,Камо грядеши,Генрик Сенкевич,640,
10140,Бродяги Дхармы,Джек Керуак,288,
10141,Гений,Теодор Драйзер,736,
10142,"Я знаю, ты где-то есть",Тьерри Коэн,320,
10143,,,672,
10144,,,640,
10145,,,800,
10146,,,736,
10147,Малое собрание сочинений,Эрнст Гофман,672,
10148,Малое собрание сочинений,Валентин Распутин,640,
10149,,,,
10150,Камо грядеши,Генрик Сенкевич,640,
10151,,,256,
10152,Призрак оперы,Гастон Леру,416,
10153,,,,
10154,,,698,
10155,Тихий Дон. Том II,Михаил Шолохов,800,
10156,Морской волк,Джек Лондон,640,
10157,,,432,
10158,,,400,
10159,,,1344,
10160,,,576,
10161,,,1568,
10162,,,576,
10163,Тихий Дон.Книги I-II(нов),Михаил Шолохов,720,
10164,,,416,
10165,Остальные тридцать два,Эрнест Миллер Хемингуэй,480,
10166,Суета Дулуоза,Джек Керуак,320,
10167,,,640,
10168,,,480,
10169,,,640,
10170,,,456,
10171,Луна и грош. Узорный покров,Уильям Сомерсет Моэм,480,
10172,,,960,
10173,"Повелитель мух, Наследники, Воришка Мартин",Уильям Голдинг,512,
10174,"Приют Грез, Гэм, Станция на горизонте",Эрих Ремарк,640,
10175,Дэниел Мартин(нов.оф),Джон Роберт Фаулз,800,
10176,,,,
10177,,,336,
10178,,,,
10179,,,672,
10180,,,,
10181,,,464,
10182,Север и Юг,Элизабет Гаскелл,512,
10183,,,672,
10184,,,896,
10185,,,314,
10186,,,560,
10187,,,1792,
10188,,,304,
10189,Место,Фридрих Горенштейн,864,
10190,"Ранняя конфуцианская проза. ""Луньюй"". ""Мэнцзы""",,376,
10191,,,,
10192,Живи и помни,Валентин Распутин,864,
10193,,,832,
10194,,,320,
10195,,,304,
10196,,,539,
10197,Последние свидетели,Светлана Алексиевич,304,
10198,,,1728,
10199,Классический английский роман(комплект/superцена),Джон Пристли,1728,
10200,,,296,
10201,,,344,
10202,У войны не женское лицо,Светлана Алексиевич,352,
10203,,,524,
10204,,,,
10205,,,576,
10206,,,320,
10207,,,,
10208,,,196,
10209,,,464,
10210,,,1,
10211,,,1,
10212,Дэниел Мартин. Шедевр английской литературы в одном томе,Джон Роберт Фаулз,800,
10213,,,1088,
10214,Гордость и предубеждение,Джейн Остен,416,
10215,,,,
10216,,,634,
10217,,,525,
10218,,,720,
10219,,,301,
10220,Двадцать лет спустя,Александр Дюма (отец),1,
10221,,,,
10222,,,136,
10223,,,597,
10224,,,664,
10225,,,748,
10226,,,,
10227,Бедная Лиза: повести и стихотворения,Николай Карамзин,192,
10228,"Истощение времени, или Сведения об участии кота Тимофея в государственном перевороте : повесть , Соленый арбуз : роман : сборник",Владимир Орлов,320,
10229,,,256,
10230,,,384,
10231,,,,
10232,,,272,
10233,,,528,
10234,,,352,
10235,,,256,
10236,,,528,
10237,,,416,
10238,,,240,
10239,,,416,
10240,,,304,
10241,Обрыв. Ч.1-2 (ЮношБибл) Гончаров (т.39),Иван Гончаров,416,
10242,"Первая любовь: повести, роман",Иван Тургенев,512,
10243,"Жизнь: роман, новелла",Ги де Мопассан,320,
10244,Бегущая по волнам: романы,Александр Грин,416,
10245,"История кавалера де Грие и Манон Леско, История одной гречанки",Антуан-Франсуа Прево,432,
10246,,,496,
10247,,,496,
10248,Белые ночи. Униженные и оскорбенные: романы,Федор Достоевский,512,
10249,Демон,Михаил Лермонтов,352,
10250,,,304,
10251,,,368,
10252,,,576,
10253,,,400,
10254,,,480,
10255,"Жемчужное ожерелье: рассказы, повести",Николай Лесков,272,
10256,,,496,
10257,,,640,
10258,,,640,
10259,,,448,
10260,,,384,
10261,,,288,
10262,,,608,
10263,,,192,
10264,,,416,
10265,"Иван Васильевич: рассказы, пьесы",Михаил Булгаков,256,
10266,,,320,
10267,,,448,
10268,,,288,
10269,,,,
10270,Вдали от обезумевшей толпы,Томас Гарди,,
10271,,,256,
10272,,,128,
10273,,,352,
10274,,,352,
10275,Перстень Лёвеншёльдов: романы,Сельма Оттилия Лувиса Лагерлёф,384,
10276,,,192,
10277,,,256,
10278,,,320,
10279,,,288,
10280,Портрет Дориана Грея,Оскар Уайльд,352,
10281,,,288,
10282,Превращение: рассказы,Франц Кафка,256,
10283,,,640,
10284,,,608,
10285,,,384,
10286,,,192,
10287,,,320,
10288,"Муж напрокат, или Откровения верной жены",Диана Чемберлен,320,
10289,Алиса в Стране чудес,Льюис Кэрролл,224,
10290,Серебряный голубь: повесть,Андрей Белый,352,
10291,,,480,
10292,,,320,
10293,Превращение: рассказы,Франц Кафка,256,
10294,Вдали от обезумевшей толпы: роман,Томас Гарди,480,
10295,,,224,
10296,Просвечивающие предметы : романы,Владимир Набоков,352,
10297,,,192,
10298,В доме веселья : роман,Эдит Уортон,448,
10299,Горе от ума,Александр Грибоедов,160,
10300,Фауст: трагедия,Иоганн Вольфганг фон Гёте,512,
10301,Темные аллеи,Иван Бунин,320,
10302,,,496,
10303,,,768,
10304,Морфий. Записки юного врача,Михаил Булгаков,192,
10305,,,640,
10306,Джейн Эйр,Шарлотта Бронте,704,
10307,Слепота : роман,Жозе Сарамаго,352,
10308,Барнеби Радж: роман,Чарльз Диккенс,768,
10309,Идиот,Федор Достоевский,640,
10310,,,224,
10311,"Человек, который смеется",Виктор Мари Гюго,672,
10312,,,320,
10313,О мышах и людях. Жемчужина : повести,Джон Стейнбек,224,
10314,,,,
10315,,,288,
10316,,,256,
10317,,,300,
10318,,,288,
10319,Цветы для Элджернона,Дэниел Киз,320,
10320,,,416,
10321,,,384,
10322,,,640,
10323,,,512,
10324,Мастер и Маргарита,Михаил Булгаков,416,
10325,Вечер в Византии: роман,Ирвин Шоу,416,
10326,,,416,
10327,,,400,
10328,,,640,
10329,,,448,
10330,,,608,
10331,Золотой теленок: роман,Евгений Петров,320,
10332,,,320,
10333,,,320,
10334,Архистратиг. Сборник рассказов,Владимир Даль,464,
10335,,,480,
10336,Ребекка,Дафна дю Морье,512,
10337,,,320,
10338,Идиот,Федор Достоевский,640,
10339,,,256,
10340,,,384,
10341,,,384,
10342,Зима тревоги нашей: роман,Джон Стейнбек,416,
10343,,,384,
10344,"Человек,который смеется",Виктор Мари Гюго,672,
10345,,,320,
10346,,,432,
10347,,,608,
10348,,,480,
10349,Лекарство от меланхолии,Рэй Брэдбери,320,
10350,,,640,
10351,,,,
10352,,,352,
10353,,,320,
10354,,,544,
10355,Мастер и Маргарита: роман,Михаил Булгаков,416,
10356,,,640,
10357,,,,
10358,,,,
10359,,,432,
10360,,,352,
10361,,,640,
10362,,,608,
10363,,,320,
10364,В списках не значился : роман,Борис Васильев,352,
10365,А зори здесь тихие...: повесть,Борис Васильев,224,
10366,Дорогие мои мальчишки : повесть,Лев Кассиль,224,
10367,Ночевала тучка золотая : повесть,Анатолий Приставкин,352,
10368,,,640,
10369,,,640,
10370,,,406,
10371,Молодая гвардия,Александр Фадеев,640,
10372,,,416,
10373,Мартин Иден. Дочь снегов: романы,Джек Лондон,640,
10374,,,832,
10375,,,480,
10376,Повесть о настоящем человеке: повесть,Борис Полевой,384,
10377,,,224,
10378,,,416,
10379,"Летнее утро, летняя ночь: рассказы",Рэй Брэдбери,256,
10380,,,384,
10381,,,,
10382,Госпожа Бовари,Гюстав Флобер,384,
10383,,,384,
10384,,,,
10385,,,480,
10386,Что я видел. Эссе и памфлеты,Виктор Мари Гюго,496,
10387,,,672,
10388,Чехов жив. Сборник рассказов,Антон Чехов,448,
10389,"MESMERIZED. Павел Первый, Месмер и их эпоха",Юрий Тынянов,288,
10390,,,104,
10391,,,384,
10392,,,,
10393,,,576,
10394,,,336,
10395,Преступление и наказание: роман,Федор Достоевский,608,
10396,,,384,
10397,,,672,
10398,,,480,
10399,,,416,
10400,,,448,
10401,,,544,
10402,,,1552,
10403,,,608,
10404,Мартин Иден,Джек Лондон,,
10405,,,352,
10406,А зори здесь тихие...,Борис Васильев,672,
10407,Сентябрьские розы : роман,Андре Моруа,224,
10408,,,640,
10409,,,512,
10410,Пнин : роман,Владимир Набоков,320,
10411,,,640,
10412,Великий Гэтсби : Роман,Френсис Скотт Фицджеральд,256,
10413,,,928,
10414,Сатори в Париже. Тристесса : романы,Джек Керуак,192,
10415,Звук и ярость,Уильям Фолкнер,352,
10416,,,800,
10417,Собачье сердце,Михаил Булгаков,640,
10418,,,256,
10419,Малое собрание сочинений,Борис Васильев,640,
10420,Повелитель мух. Бог-скорпион: сборник,Уильям Голдинг,384,
10421,Тихий Дон: роман в 4 кн. Книги III-IV,Михаил Шолохов,832,
10422,Комедии.Укрощение строптивой.Сон в летнюю ночь и др.,Уильям Шекспир,,
10423,,,312,
10424,,,480,
10425,,,544,
10426,,,352,
10427,,,80,
10428,Отец Сергий. Повести,Лев Толстой,368,
10429,Земля обетованная: роман,Андре Моруа,352,
10430,,,288,
10431,,,448,
10432,,,944,
10433,Да здравствует фикус! Дочь священника,Джордж Оруэлл,576,
10434,,,576,
10435,Море - мой брат. Одинокий странник,Джек Керуак,352,
10436,,,672,
10437,Живи и помни,Валентин Распутин,640,
10438,,,320,
10439,,,640,
10440,"Старик и море. За рекой, в тени деревьев",Эрнест Миллер Хемингуэй,352,
10441,,,640,
10442,,,448,
10443,Игра в классики : роман,Хулио Кортасар,480,
10444,,,384,
10445,,,512,
10446,,,640,
10447,,,608,
10448,,,480,
10449,,,640,
10450,,,640,
10451,,,640,
10452,,,608,
10453,,,,
10454,,,,
10455,,,240,
10456,"Нагрудный знак ""OST""",,640,
10457,О дивный новый мир. Остров: романы,Олдос Леонард Хаксли,576,
10458,Первые сорок девять. Полное собрание рассказов. Кн. 1,Эрнест Миллер Хемингуэй,544,
10459,,,304,
10460,,,88,
10461,,,88,
10462,Горе от ума,Александр Грибоедов,608,
10463,,,352,
10464,,,640,
10465,,,1552,
10466,,,448,
10467,,,608,
10468,,,640,
10469,,,304,
10470,,,304,
10471,,,320,
10472,Ребекка: роман,Дафна дю Морье,480,
10473,,,352,
10474,Спокойной ночи : роман,,416,
10475,,,544,
10476,Герой нашего времени. Поэмы. Стихотворения,Михаил Лермонтов,576,
10477,,,432,
10478,,,320,
10479,,,369,
10480,Американская трагедия,Теодор Драйзер,928,
10481,Гроздья гнева : роман,Джон Стейнбек,576,
10482,,,576,
10483,,,224,
10484,,,320,
10485,"Алые паруса: романы, рассказы",Александр Грин,640,
10486,,,688,
10487,Блеск и нищета куртизанок,Оноре де Бальзак,,
10488,,,440,
10489,,,432,
10490,,,640,
10491,,,240,
10492,"Ни дня без строчки: романы, повести, рассказы, пьесы, статьи, воспоминания",Юрий Олеша,992,
10493,Селин Ригодон,Луи-Фердинанд Селин,416,
10494,Цыган: роман,Анатолий Калинин,704,
10495,Убить пересмешника,Харпер Ли,368,
10496,,,304,
10497,,,304,
10498,,,304,
10499,,,304,
10500,,,304,
10501,,,304,
10502,,,304,
10503,,,,
10504,,,303,
10505,,,248,
10506,,,656,
10507,,,1144,
10508,,,,
10509,,,,
10510,,,,
10511,,,160,
10512,,,304,
10513,,,,
10514,,,304,
10515,,,304,
10516,,,304,
10517,Вся жизнь впереди: Роман,Ромен Гари,235,
10518,,,671,
10519,,,367,
10520,,,640,
10521,,,720,
10522,,,304,
10523,,,968,
10524,,,304,
10525,,,528,
10526,,,448,
10527,,,,
10528,,,472,
10529,,,528,
10530,,,600,
10531,,,824,
10532,,,2528,
10533,,,360,
10534,,,1056,
10535,,,384,
10536,,,384,
10537,,,,
10538,,,,
10539,Предтеча,Владимир Маканин,256,
10540,,,416,
10541,,,256,
10542,,,288,
10543,,,288,
10544,,,384,
10545,,,192,
10546,,,384,
10547,Почему Фрейд был неправ?,Ричард Вебстер,736,
10548,,,416,
10549,,,256,
10550,,,448,
10551,,,384,
10552,,,160,
10553,,,480,
10554,,,320,
10555,,,352,
10556,,,288,
10557,,,320,
10558,,,288,
10559,,,,
10560,,,480,
10561,Свет погас: роман,Редьярд Киплинг,272,
10562,,,288,
10563,,,320,
10564,,,288,
10565,,,256,
10566,,,320,
10567,,,256,
10568,,,224,
10569,,,256,
10570,,,256,
10571,,,288,
10572,,,288,
10573,,,,
10574,,,704,
10575,,,448,
10576,,,64,
10577,,,416,
10578,,,384,
10579,Капитан Панталеон и Рота добрых услуг: роман,Марио Варгас Льоса,288,
10580,,,320,
10581,,,352,
10582,,,240,
10583,Русские ночи,Владимир Одоевский,320,
10584,,,320,
10585,,,224,
10586,,,192,
10587,,,576,
10588,,,352,
10589,,,128,
10590,,,320,
10591,,,224,
10592,,,384,
10593,,,352,
10594,,,320,
10595,,,288,
10596,,,352,
10597,,,448,
10598,,,288,
10599,,,416,
10600,,,256,
10601,,,224,
10602,,,506,
10603,,,224,
10604,,,384,
10605,,,800,
10606,,,,
10607,,,288,
10608,Мельница на Флоссе: роман,,640,
10609,,,,
10610,,,320,
10611,,,126,
10612,,,448,
10613,,,256,
10614,,,256,
10615,,,320,
10616,,,480,
10617,,,272,
10618,,,384,
10619,,,640,
10620,,,,
10621,,,320,
10622,Приют Грез: роман,Эрих Ремарк,288,
10623,,,256,
10624,,,576,
10625,,,576,
10626,,,256,
10627,,,320,
10628,,,224,
10629,,,640,
10630,,,63,
10631,Поединок,Александр Куприн,,
10632,Алеф,Хорхе Борхес,224,
10633,,,,
10634,,,288,
10635,,,464,
10636,,,352,
10637,Над кукушкиным гнездом,Кен Кизи,384,
10638,,,864,
10639,,,384,
10640,Семейная жизнь весом в 158 фунтов,Джон Ирвинг,352,
10641,,,320,
10642,Ночь в Лиссабоне,Эрих Ремарк,320,
10643,,,384,
10644,,,640,
10645,,,256,
10646,,,672,
10647,,,640,
10648,Генералы песчаных карьеров : роман,Жоржи Амаду,320,
10649,,,448,
10650,,,416,
10651,,,160,
10652,,,352,
10653,,,304,
10654,,,608,
10655,Триумфальная арка: роман,Эрих Ремарк,576,
10656,,,446,
10657,,,384,
10658,,,480,
10659,,,360,
10660,,,1008,
10661,,,1008,
10662,,,576,
10663,,,576,
10664,Человеческая комедия,Уильям Сароян,320,
10665,,,1512,
10666,,,864,
10667,,,1368,
10668,,,936,
10669,,,1008,
10670,,,640,
10671,,,416,
10672,,,608,
10673,,,480,
10674,62. Модель для сборки: роман,Хулио Кортасар,384,
10675,,,1008,
10676,,,1368,
10677,,,360,
10678,,,1224,
10679,,,1008,
10680,,,288,
10681,,,320,
10682,,,648,
10683,,,720,
10684,,,416,
10685,Герой нашего времени: сборник,Михаил Лермонтов,416,
10686,Жизнь взаймы,Эрих Ремарк,288,
10687,,,352,
10688,,,1080,
10689,,,1440,
10690,,,544,
10691,,,576,
10692,,,576,
10693,,,504,
10694,,,,
10695,,,544,
10696,,,640,
10697,,,320,
10698,,,640,
10699,,,608,
10700,,,344,
10701,Мартовские иды. Мост короля Людовика Святого: сборник,Торнтон Уайлдер,416,
10702,,,640,
10703,,,672,
10704,,,416,
10705,,,504,
10706,Завтра : роман,Гийом Мюссо,416,
10707,,,608,
10708,,,224,
10709,,,224,
10710,,,640,
10711,,,640,
10712,,,640,
10713,,,576,
10714,,,544,
10715,,,640,
10716,Нетерпение сердца: роман,Стефан Цвейг,416,
10717,,,480,
10718,Вино из одуванчиков,Рэй Брэдбери,320,
10719,,,640,
10720,,,832,
10721,Лики любви и ненависти. Бег зайца через поля: Повести,Себастьян Жапризо,224,
10722,,,432,
10723,,,250,
10724,,,640,
10725,Золотой теленок : роман,Евгений Петров,512,
10726,,,576,
10727,Фауст,Иоганн Вольфганг фон Гёте,672,
10728,Больше чем просто дом: рассказы,Френсис Скотт Фицджеральд,448,
10729,Золото: романы,Дмитрий Мамин-Сибиряк,640,
10730,,,240,
10731,,,832,
10732,Отпущение грехов,Френсис Скотт Фицджеральд,447,
10733,Невероятные похождения Алексиса Зорбаса : роман,Никос Казандзакис,352,
10734,,,544,
10735,,,352,
10736,,,672,
10737,Ремесло,Сергей Довлатов,352,
10738,,,624,
10739,"Сволочей тоже жалко : Рассказы, повесть, киносценарий.",Виктория Токарева,240,
10740,,,384,
10741,,,384,
10742,,,384,
10743,,,192,
10744,,,640,
10745,,,492,
10746,Сокрытые лица,Сальвадор Дали,512,
10747,,,800,
10748,,,288,
10749,,,320,
10750,,,704,
10751,,,48,
10752,Американская трагедия,Теодор Драйзер,928,
10753,,,,
10754,,,832,
10755,,,864,
10756,Преступление и наказание,Федор Достоевский,608,
10757,,,448,
10758,,,592,
10759,,,672,
10760,Бесы: Роман,Федор Достоевский,576,
10761,,,768,
10762,,,288,
10763,,,800,
10764,Сильные мира сего : роман,Морис Дрюон,352,
10765,"Дублинцы: рассказы, роман",Джеймс Джойс,736,
10766,,,608,
10767,,,640,
10768,,,704,
10769,,,144,
10770,Миссис Дэллоуэй. На маяк. Орландо. Флаш : романы,Вирджиния Вулф,640,
10771,,,640,
10772,,,927,
10773,,,800,
10774,,,384,
10775,,,478,
10776,,,,
10777,,,464,
10778,,,112,
10779,,,720,
10780,Игра в бисер,Герман Гессе,464,
10781,,,864,
10782,Ревизор,Николай Гоголь,672,
10783,Дама с собачкой,Антон Чехов,656,
10784,,,640,
10785,Жизнь взаймы: роман,Эрих Ремарк,256,
10786,"Женщина, которая легла в кровать на год: роман",Сью Таунсенд,416,
10787,,,416,
10788,,,384,
10789,,,224,
10790,,,224,
10791,17 рассказов,Френсис Скотт Фицджеральд,560,
10792,,,432,
10793,,,262,
10794,,,18,
10795,Человек не отсюда,Даниил Гранин,320,
10796,,,304,
10797,,,448,
10798,,,320,
10799,,,304,
10800,,,384,
10801,,,192,
10802,,,992,
10803,,,928,
10804,,,1424,
10805,,,577,
10806,,,320,
10807,Август Четырнадцатого. Красное Колесо: роман-эпопея,Александр Солженицын,960,
10808,,,304,
10809,Избранное,Василь Быков,623,
10810,,,591,
10811,,,543,
10812,,,575,
10813,,,1184,
10814,,,1408,
10815,Унесенные ветром. Мировой бестселлер в одном томе,Маргарет Митчелл,992,
10816,,,304,
10817,,,450,
10818,,,1184,
10819,,,1056,
10820,,,1056,
10821,"Поединок. Олеся. Гранатовый браслет. Романы, повести, рассказы",Александр Куприн,1344,
10822,"Дублинцы. Улисс: новеллы, роман",Джеймс Джойс,1440,
10823,Тихий Дон: роман,Михаил Шолохов,1600,
10824,,,960,
10825,,,96,
10826,,,480,
10827,,,96,
10828,,,768,
10829,,,128,
10830,,,728,
10831,Дон Кихот : роман,Мигель де Сервантес Сааведра,736,
10832,,,323,
10833,,,686,
10834,,,398,
10835,,,272,
10836,,,272,
10837,,,272,
10838,,,701,
10839,Сто лет одиночества: роман,Габриэль Гарсиа Маркес,600,
10840,,,,
10841,,,,
10842,,,,
10843,,,,
10844,,,960,
10845,Арап Петра Великого,Александр Пушкин,160,
10846,,,1092,
10847,,,352,
10848,,,256,
10849,,,320,
10850,,,224,
10851,,,224,
10852,,,224,
10853,,,320,
10854,,,383,
10855,,,190,
10856,,,189,
10857,,,320,
10858,,,384,
10859,,,448,
10860,,,192,
10861,,,256,
10862,,,480,
10863,,,,
10864,,,800,
10865,,,448,
10866,,,384,
10867,,,256,
10868,,,192,
10869,,,159,
10870,,,224,
10871,,,288,
10872,,,192,
10873,,,288,
10874,,,160,
10875,,,224,
10876,,,224,
10877,,,224,
10878,,,320,
10879,,,,
10880,,,192,
10881,,,352,
10882,,,224,
10883,,,384,
10884,,,256,
10885,,,224,
10886,,,576,
10887,,,191,
10888,,,192,
10889,,,192,
10890,,,384,
10891,В окопах Сталинграда: Повесть,Виктор Некрасов,416,
10892,,,320,
10893,,,320,
10894,,,320,
10895,,,224,
10896,,,320,
10897,,,,
10898,,,224,
10899,,,352,
10900,,,351,
10901,,,384,
10902,,,223,
10903,,,254,
10904,,,223,
10905,,,191,
10906,,,192,
10907,,,320,
10908,,,320,
10909,,,288,
10910,,,416,
10911,,,192,
10912,,,352,
10913,,,256,
10914,,,256,
10915,,,224,
10916,,,320,
10917,,,288,
10918,,,352,
10919,,,320,
10920,,,192,
10921,,,383,
10922,,,224,
10923,,,320,
10924,,,352,
10925,,,352,
10926,,,224,
10927,К югу от границына запад от солнца,Харуки Мураками,288,
10928,,,352,
10929,,,480,
10930,,,464,
10931,,,320,
10932,,,352,
10933,,,224,
10934,,,224,
10935,,,288,
10936,,,160,
10937,,,320,
10938,,,384,
10939,,,640,
10940,,,640,
10941,,,608,
10942,,,256,
10943,,,378,
10944,,,224,
10945,,,505,
10946,,,378,
10947,,,288,
10948,Охота на овец,Харуки Мураками,480,
10949,,,224,
10950,,,480,
10951,,,544,
10952,Дожить до рассвета: Повести,Василь Быков,512,
10953,Дубровский,Александр Пушкин,128,
10954,,,480,
10955,,,416,
10956,Три мушкетера: роман,Александр Дюма (отец),672,
10957,,,448,
10958,,,384,
10959,,,288,
10960,,,256,
10961,,,512,
10962,,,736,
10963,,,82,
10964,,,76,
10965,,,370,
10966,,,,
10967,,,224,
10968,,,288,
10969,,,352,
10970,Герой нашего времени,Михаил Лермонтов,,
10971,,,512,
10972,,,116,
10973,Горячий снег,Юрий Бондарев,544,
10974,,,480,
10975,,,,
10976,,,194,
10977,Полковнику никто не пишет: повесть,Габриэль Гарсиа Маркес,128,
10978,,,672,
10979,,,640,
10980,,,800,
10981,За правое дело,Василий Гроссман,960,
10982,,,320,
10983,,,640,
10984,,,400,
10985,"Трое в лодке, не считая собаки: повесть, рассказы",Джером Клапка Джером,336,
10986,Ромео и Джульетта,Уильям Шекспир,224,
10987,,,560,
10988,,,544,
10989,,,576,
10990,,,512,
10991,,,608,
10992,,,,
10993,,,256,
10994,Отверженные: Роман,Виктор Мари Гюго,768,
10995,,,504,
10996,"Прощай, оружие!: роман",Эрнест Миллер Хемингуэй,384,
10997,,,80,
10998,,,480,
10999,,,432,
11000,,,429,
11001,,,360,
11002,,,432,
11003,,,432,
11004,,,648,
11005,,,224,
11006,Три товарища: роман,Эрих Ремарк,480,
11007,Большие надежды: роман,Чарльз Диккенс,544,
11008,,,480,
11009,,,704,
11010,,,640,
11011,,,576,
11012,,,480,
11013,,,896,
11014,,,608,
11015,,,674,
11016,,,640,
11017,,,640,
11018,,,608,
11019,,,240,
11020,,,608,
11021,,,,
11022,,,448,
11023,,,832,
11024,Над пропастью во ржи,Джером Сэлинджер,224,
11025,,,,
11026,,,159,
11027,Колодец и маятник: новеллы,Эдгар По,544,
