,name,author,numberOfPages,price
413,"Здравствуй, грусть!",Франсуаза Саган,176,171 ₽
414,Белый Клык. Зов предков,Джек Лондон,384,189 ₽
415,Обломов. Обыкновенная история,Иван Гончаров,736,790 ₽
416,Клуб самоубийц,Роберт Льюис Стивенсон,288,210 ₽
417,Открытая книга. Роман,Вениамин Каверин,736,848 ₽
418,Ревизор : сборник,Николай Гоголь,224,165 ₽
419,Детство. Отрочество. Юность,Лев Толстой,384,206 ₽
420,Женщина в белом,Уильям Уилки Коллинз,672,749 ₽
421,Сын менестреля. Грейси Линдсей,Арчибальд Кронин,544,779 ₽
422,Первая любовь,Иван Тургенев,320,189 ₽
423,Соперницы,Шарлотта Бронте,448,190 ₽
424,,,,
425,Жизнь,Ги де Мопассан,288,180 ₽
426,,,256,200 ₽
427,Собачье сердце,Михаил Булгаков,288,257 ₽
428,Тени в раю,Эрих Ремарк,576,293 ₽
429,Королева Марго: роман,Александр Дюма (отец),640,790 ₽
430,"История одного города. Господа Головлевы. Сказки: романы, сказки",Михаил Салтыков-Щедрин,704,675 ₽
431,Стоик,Теодор Драйзер,448,184 ₽
432,Испанский садовник. Древо Иуды,Арчибальд Кронин,544,269 ₽
433,Рассказ о семи повешенных,Леонид Андреев,384,408 ₽
434,Скотный двор,Джордж Оруэлл,256,180 ₽
435,Портрет Дориана Грея,Оскар Уайльд,320,346 ₽
436,Тэсс из рода д`Эрбервиллей,Томас Гарди,480,600 ₽
437,Две недели в сентябре: роман,Роберт Шеррифф,384,691 ₽
438,Доктор Живаго,Борис Пастернак,624,276 ₽
439,Звук и ярость,Уильям Фолкнер,416,271 ₽
440,Великий Гэтсби,Френсис Скотт Фицджеральд,352,576 ₽
441,,,618,902 ₽
442,Сэндитон,Джейн Остен,224,158 ₽
443,На Западном фронте без перемен,Эрих Ремарк,256,389 ₽
444,Эмма,Джейн Остен,512,642 ₽
445,Доктор Живаго и другая проза,Борис Пастернак,736,743 ₽
446,,,288,388 ₽
447,Запретные цвета,Юкио Мисима,576,250 ₽
448,Драма на охоте,Антон Чехов,992,776 ₽
449,Мидлмарч,Джордж Элиот,832,930 ₽
450,Ярмарка Тщеславия: Роман без героя,Уильям Мейкпис Теккерей,864,930 ₽
451,Пиковая дама : повести и поэмы,Александр Пушкин,352,173 ₽
